Player,Salary,Experience,Japanese,Dominican,HR,League,Position.Name
"Bay, Jason",7800000,5,0,0,31,American,Outfielder
"Blalock, Hank",6200000,7,0,0,12,American,Infielder
"Barfield, Josh",416100,2,0,0,0,American,Infielder
"Taveras, Willy",2250000,4,0,1,1,National,Outfielder
"Nix, Jayson",400000,1,0,0,0,American,Infielder
"Vazquez, Ramon",1875000,6,0,0,6,National,Infielder
"Young, Delmon",1152000,2,0,0,10,American,Outfielder
"Buck, John",2900000,4,0,0,9,American,Catcher
"McCann, Brian",3700000,3,0,0,23,National,Catcher
"Polanco, Placido",4600000,9,0,1,8,American,Infielder
"Encarnacion, Edwin",2425000,3,0,0,26,National,Infielder
"Bruntlett, Eric",800000,4,0,0,2,National,Outfielder
"Maybin, Cameron",400000,0,0,0,0,National,Outfielder
"Rivera, Mike",415000,2,0,0,14,National,Catcher
"Crosby, Bobby",5300000,5,0,0,7,American,Infielder
"Velez, Eugenio",404000,1,0,1,1,National,Outfielder
"Pierzynski, A.J.",6250000,8,0,0,13,American,Catcher
"Victorino, Shane",3125000,4,0,0,14,National,Outfielder
"McLouth, Nate",2500000,3,0,0,26,National,Outfielder
"Torrealba, Yorvit",3750000,7,0,0,6,National,Catcher
"Soriano, Alfonso",17000000,8,0,1,29,National,Outfielder
"Wright, David",7750000,4,0,0,33,National,Infielder
"Bruce, Jay",417500,0,0,0,21,National,Outfielder
"Paulino, Ronny",440000,2,0,1,2,National,Catcher
"Dickerson, Chris",400000,0,0,0,6,National,Outfielder
"Soriano, Alfonso",17000000,8,0,1,29,National,Outfielder
"Utley, Chase",11285714,5,0,0,33,National,Infielder
"Lillibridge, Brent",402500,0,0,0,1,American,Infielder
"Cedeno, Ronny",822500,3,0,0,2,American,Infielder
"Miles, Aaron",2200000,5,0,0,4,National,Infielder
"Fukudome, Kosuke",12500000,1,1,0,10,National,Outfielder
"Morgan, Nyjer",411500,1,0,0,0,National,Outfielder
"Duncan, Chris",825000,2,0,0,6,National,Outfielder
"Cabrera, Everth",400000,0,0,0,0,National,Infielder
"Quentin, Carlos",550000,2,0,0,36,American,Outfielder
"Pena Jr., Tony (Francisco)",425000,2,0,1,1,American,Infielder
